Model,Parameter,Group,Mean±SE,ANOVA p
Holzapfel,p3,CoA20 vs Control,,Tukey p=4.660e-02
Holzapfel,p3,CoA20 vs RdCoA10,,Tukey p=1.720e-02
Holzapfel,p3,CoA20 vs RdCoA20,,Tukey p=9.437e-01
Holzapfel,p3,CoA20 vs RdCoA5,,Tukey p=9.670e-01
Holzapfel,p3,CoA20 vs dCoA10,,Tukey p=1.000e+00
Holzapfel,p3,CoA20 vs dCoA20,,Tukey p=6.010e-01
Holzapfel,p3,CoA20 vs dCoA5,,Tukey p=9.775e-01
Holzapfel,p3,CoA5 vs Control,,Tukey p=6.290e-02
Holzapfel,p3,CoA5 vs RdCoA10,,Tukey p=3.270e-02
Holzapfel,p3,CoA5 vs RdCoA20,,Tukey p=9.213e-01
Holzapfel,p3,CoA5 vs RdCoA5,,Tukey p=9.510e-01
Holzapfel,p3,CoA5 vs dCoA10,,Tukey p=1.000e+00
Holzapfel,p3,CoA5 vs dCoA20,,Tukey p=8.326e-01
Holzapfel,p3,CoA5 vs dCoA5,,Tukey p=9.638e-01
Holzapfel,p3,Control vs RdCoA10,,Tukey p=1.000e+00
Holzapfel,p3,Control vs RdCoA20,,Tukey p=9.057e-01
Holzapfel,p3,Control vs RdCoA5,,Tukey p=5.341e-01
Holzapfel,p3,Control vs dCoA10,,Tukey p=7.680e-02
Holzapfel,p3,Control vs dCoA20,,Tukey p=2.300e-03
Holzapfel,p3,Control vs dCoA5,,Tukey p=4.973e-01
Holzapfel,p3,RdCoA10 vs RdCoA20,,Tukey p=9.101e-01
Holzapfel,p3,RdCoA10 vs RdCoA5,,Tukey p=4.626e-01
Holzapfel,p3,RdCoA10 vs dCoA10,,Tukey p=4.170e-02
Holzapfel,p3,RdCoA10 vs dCoA20,,Tukey p=8.000e-04
Holzapfel,p3,RdCoA10 vs dCoA5,,Tukey p=4.227e-01
Holzapfel,p3,RdCoA20 vs RdCoA5,,Tukey p=1.000e+00
Holzapfel,p3,RdCoA20 vs dCoA10,,Tukey p=9.433e-01
Holzapfel,p3,RdCoA20 vs dCoA20,,Tukey p=2.289e-01
Holzapfel,p3,RdCoA20 vs dCoA5,,Tukey p=1.000e+00
Holzapfel,p3,RdCoA5 vs dCoA10,,Tukey p=9.696e-01
Holzapfel,p3,RdCoA5 vs dCoA20,,Tukey p=1.799e-01
Holzapfel,p3,RdCoA5 vs dCoA5,,Tukey p=1.000e+00
Holzapfel,p3,dCoA10 vs dCoA20,,Tukey p=7.869e-01
Holzapfel,p3,dCoA10 vs dCoA5,,Tukey p=9.785e-01
Holzapfel,p3,dCoA20 vs dCoA5,,Tukey p=2.007e-01
Linear-Elastic,p1,CoA10,290.288 ± 29.913,3.828e-08
Linear-Elastic,p1,CoA20,475.692 ± 46.068,
Linear-Elastic,p1,CoA5,362.089 ± 39.387,
Linear-Elastic,p1,Control,142.586 ± 9.190,
Linear-Elastic,p1,RdCoA10,139.765 ± 23.059,
Linear-Elastic,p1,RdCoA20,110.223 ± 18.588,
Linear-Elastic,p1,RdCoA5,109.945 ± 15.610,
Linear-Elastic,p1,dCoA10,281.979 ± 30.353,
Linear-Elastic,p1,dCoA20,305.878 ± 55.217,
Linear-Elastic,p1,dCoA5,214.417 ± 19.551,
Linear-Elastic,p1,CoA10 vs CoA20,,Tukey p=3.800e-03
Linear-Elastic,p1,CoA10 vs CoA5,,Tukey p=8.941e-01
Linear-Elastic,p1,CoA10 vs Control,,Tukey p=1.933e-01
Linear-Elastic,p1,CoA10 vs RdCoA10,,Tukey p=6.450e-02
Linear-Elastic,p1,CoA10 vs RdCoA20,,Tukey p=1.431e-01
Linear-Elastic,p1,CoA10 vs RdCoA5,,Tukey p=2.450e-02
Linear-Elastic,p1,CoA10 vs dCoA10,,Tukey p=1.000e+00
Linear-Elastic,p1,CoA10 vs dCoA20,,Tukey p=1.000e+00
Linear-Elastic,p1,CoA10 vs dCoA5,,Tukey p=8.600e-01
Linear-Elastic,p1,CoA20 vs CoA5,,Tukey p=3.616e-01
Linear-Elastic,p1,CoA20 vs Control,,Tukey p=0.000e+00
Linear-Elastic,p1,CoA20 vs RdCoA10,,Tukey p=0.000e+00
Linear-Elastic,p1,CoA20 vs RdCoA20,,Tukey p=0.000e+00
Linear-Elastic,p1,CoA20 vs RdCoA5,,Tukey p=0.000e+00
Linear-Elastic,p1,CoA20 vs dCoA10,,Tukey p=9.000e-03
Linear-Elastic,p1,CoA20 vs dCoA20,,Tukey p=6.950e-02
Linear-Elastic,p1,CoA20 vs dCoA5,,Tukey p=2.000e-04
Linear-Elastic,p1,CoA5 vs Control,,Tukey p=1.880e-02
Linear-Elastic,p1,CoA5 vs RdCoA10,,Tukey p=4.100e-03
Linear-Elastic,p1,CoA5 vs RdCoA20,,Tukey p=1.670e-02
Linear-Elastic,p1,CoA5 vs RdCoA5,,Tukey p=1.600e-03
Linear-Elastic,p1,CoA5 vs dCoA10,,Tukey p=8.836e-01
Linear-Elastic,p1,CoA5 vs dCoA20,,Tukey p=9.919e-01
Linear-Elastic,p1,CoA5 vs dCoA5,,Tukey p=1.935e-01
Linear-Elastic,p1,Control vs RdCoA10,,Tukey p=1.000e+00
Linear-Elastic,p1,Control vs RdCoA20,,Tukey p=1.000e+00
Linear-Elastic,p1,Control vs RdCoA5,,Tukey p=9.999e-01
Linear-Elastic,p1,Control vs dCoA10,,Tukey p=3.524e-01
Linear-Elastic,p1,Control vs dCoA20,,Tukey p=2.398e-01
Linear-Elastic,p1,Control vs dCoA5,,Tukey p=9.591e-01
Linear-Elastic,p1,RdCoA10 vs RdCoA20,,Tukey p=1.000e+00
Linear-Elastic,p1,RdCoA10 vs RdCoA5,,Tukey p=9.998e-01
Linear-Elastic,p1,RdCoA10 vs dCoA10,,Tukey p=1.787e-01
Linear-Elastic,p1,RdCoA10 vs dCoA20,,Tukey p=1.186e-01
Linear-Elastic,p1,RdCoA10 vs dCoA5,,Tukey p=8.938e-01
Linear-Elastic,p1,RdCoA20 vs RdCoA5,,Tukey p=1.000e+00
Linear-Elastic,p1,RdCoA20 vs dCoA10,,Tukey p=2.493e-01
Linear-Elastic,p1,RdCoA20 vs dCoA20,,Tukey p=1.684e-01
Linear-Elastic,p1,RdCoA20 vs dCoA5,,Tukey p=8.433e-01
Linear-Elastic,p1,RdCoA5 vs dCoA10,,Tukey p=7.550e-02
Linear-Elastic,p1,RdCoA5 vs dCoA20,,Tukey p=5.070e-02
Linear-Elastic,p1,RdCoA5 vs dCoA5,,Tukey p=6.358e-01
Linear-Elastic,p1,dCoA10 vs dCoA20,,Tukey p=1.000e+00
Linear-Elastic,p1,dCoA10 vs dCoA5,,Tukey p=9.550e-01
Linear-Elastic,p1,dCoA20 vs dCoA5,,Tukey p=8.468e-01
