Model,Parameter,Group,Mean±SE,ANOVA p
Holzapfel,p3,CoA5 vs Control,,Tukey p=4.912e-01
Holzapfel,p3,CoA5 vs RdCoA10,,Tukey p=1.000e+00
Holzapfel,p3,CoA5 vs RdCoA20,,Tukey p=9.913e-01
Holzapfel,p3,CoA5 vs RdCoA5,,Tukey p=9.990e-01
Holzapfel,p3,CoA5 vs dCoA10,,Tukey p=1.000e+00
Holzapfel,p3,CoA5 vs dCoA20,,Tukey p=8.659e-01
Holzapfel,p3,CoA5 vs dCoA5,,Tukey p=8.819e-01
Holzapfel,p3,Control vs RdCoA10,,Tukey p=6.794e-01
Holzapfel,p3,Control vs RdCoA20,,Tukey p=2.419e-01
Holzapfel,p3,Control vs RdCoA5,,Tukey p=9.537e-01
Holzapfel,p3,Control vs dCoA10,,Tukey p=4.406e-01
Holzapfel,p3,Control vs dCoA20,,Tukey p=3.940e-02
Holzapfel,p3,Control vs dCoA5,,Tukey p=1.870e-02
Holzapfel,p3,RdCoA10 vs RdCoA20,,Tukey p=9.683e-01
Holzapfel,p3,RdCoA10 vs RdCoA5,,Tukey p=1.000e+00
Holzapfel,p3,RdCoA10 vs dCoA10,,Tukey p=1.000e+00
Holzapfel,p3,RdCoA10 vs dCoA20,,Tukey p=7.411e-01
Holzapfel,p3,RdCoA10 vs dCoA5,,Tukey p=7.417e-01
Holzapfel,p3,RdCoA20 vs RdCoA5,,Tukey p=8.736e-01
Holzapfel,p3,RdCoA20 vs dCoA10,,Tukey p=9.944e-01
Holzapfel,p3,RdCoA20 vs dCoA20,,Tukey p=1.000e+00
Holzapfel,p3,RdCoA20 vs dCoA5,,Tukey p=1.000e+00
Holzapfel,p3,RdCoA5 vs dCoA10,,Tukey p=9.980e-01
Holzapfel,p3,RdCoA5 vs dCoA20,,Tukey p=5.240e-01
Holzapfel,p3,RdCoA5 vs dCoA5,,Tukey p=5.026e-01
Holzapfel,p3,dCoA10 vs dCoA20,,Tukey p=8.930e-01
Holzapfel,p3,dCoA10 vs dCoA5,,Tukey p=9.105e-01
Holzapfel,p3,dCoA20 vs dCoA5,,Tukey p=1.000e+00
Linear-Elastic,p1,CoA10,146.780 ± 19.572,1.280e-03
Linear-Elastic,p1,CoA20,231.597 ± 23.943,
Linear-Elastic,p1,CoA5,170.821 ± 22.089,
Linear-Elastic,p1,Control,198.338 ± 21.667,
Linear-Elastic,p1,RdCoA10,162.557 ± 14.309,
Linear-Elastic,p1,RdCoA20,149.522 ± 4.416,
Linear-Elastic,p1,RdCoA5,128.162 ± 14.763,
Linear-Elastic,p1,dCoA10,130.043 ± 22.011,
Linear-Elastic,p1,dCoA20,233.818 ± 23.964,
Linear-Elastic,p1,dCoA5,116.308 ± 12.838,
Linear-Elastic,p1,CoA10 vs CoA20,,Tukey p=6.170e-02
Linear-Elastic,p1,CoA10 vs CoA5,,Tukey p=9.971e-01
Linear-Elastic,p1,CoA10 vs Control,,Tukey p=6.591e-01
Linear-Elastic,p1,CoA10 vs RdCoA10,,Tukey p=9.999e-01
Linear-Elastic,p1,CoA10 vs RdCoA20,,Tukey p=1.000e+00
Linear-Elastic,p1,CoA10 vs RdCoA5,,Tukey p=9.998e-01
Linear-Elastic,p1,CoA10 vs dCoA10,,Tukey p=9.998e-01
Linear-Elastic,p1,CoA10 vs dCoA20,,Tukey p=2.347e-01
Linear-Elastic,p1,CoA10 vs dCoA5,,Tukey p=9.839e-01
Linear-Elastic,p1,CoA20 vs CoA5,,Tukey p=4.575e-01
Linear-Elastic,p1,CoA20 vs Control,,Tukey p=9.517e-01
Linear-Elastic,p1,CoA20 vs RdCoA10,,Tukey p=2.861e-01
Linear-Elastic,p1,CoA20 vs RdCoA20,,Tukey p=4.768e-01
Linear-Elastic,p1,CoA20 vs RdCoA5,,Tukey p=3.180e-02
Linear-Elastic,p1,CoA20 vs dCoA10,,Tukey p=1.990e-02
Linear-Elastic,p1,CoA20 vs dCoA20,,Tukey p=1.000e+00
Linear-Elastic,p1,CoA20 vs dCoA5,,Tukey p=5.000e-03
Linear-Elastic,p1,CoA5 vs Control,,Tukey p=9.921e-01
Linear-Elastic,p1,CoA5 vs RdCoA10,,Tukey p=1.000e+00
Linear-Elastic,p1,CoA5 vs RdCoA20,,Tukey p=9.999e-01
Linear-Elastic,p1,CoA5 vs RdCoA5,,Tukey p=9.306e-01
Linear-Elastic,p1,CoA5 vs dCoA10,,Tukey p=9.250e-01
Linear-Elastic,p1,CoA5 vs dCoA20,,Tukey p=7.003e-01
Linear-Elastic,p1,CoA5 vs dCoA5,,Tukey p=7.012e-01
Linear-Elastic,p1,Control vs RdCoA10,,Tukey p=9.550e-01
Linear-Elastic,p1,Control vs RdCoA20,,Tukey p=9.517e-01
Linear-Elastic,p1,Control vs RdCoA5,,Tukey p=3.931e-01
Linear-Elastic,p1,Control vs dCoA10,,Tukey p=3.434e-01
Linear-Elastic,p1,Control vs dCoA20,,Tukey p=9.842e-01
Linear-Elastic,p1,Control vs dCoA5,,Tukey p=1.393e-01
Linear-Elastic,p1,RdCoA10 vs RdCoA20,,Tukey p=1.000e+00
Linear-Elastic,p1,RdCoA10 vs RdCoA5,,Tukey p=9.818e-01
Linear-Elastic,p1,RdCoA10 vs dCoA10,,Tukey p=9.814e-01
Linear-Elastic,p1,RdCoA10 vs dCoA20,,Tukey p=5.432e-01
Linear-Elastic,p1,RdCoA10 vs dCoA5,,Tukey p=8.546e-01
Linear-Elastic,p1,RdCoA20 vs RdCoA5,,Tukey p=9.999e-01
Linear-Elastic,p1,RdCoA20 vs dCoA10,,Tukey p=1.000e+00
Linear-Elastic,p1,RdCoA20 vs dCoA20,,Tukey p=6.168e-01
Linear-Elastic,p1,RdCoA20 vs dCoA5,,Tukey p=9.971e-01
Linear-Elastic,p1,RdCoA5 vs dCoA10,,Tukey p=1.000e+00
Linear-Elastic,p1,RdCoA5 vs dCoA20,,Tukey p=1.223e-01
Linear-Elastic,p1,RdCoA5 vs dCoA5,,Tukey p=1.000e+00
Linear-Elastic,p1,dCoA10 vs dCoA20,,Tukey p=1.026e-01
Linear-Elastic,p1,dCoA10 vs dCoA5,,Tukey p=1.000e+00
Linear-Elastic,p1,dCoA20 vs dCoA5,,Tukey p=3.970e-02
